 NUMBER OF NODES FOR CONCRETE                 402
 NUMBER OF NODES FOR STEEL+SHEET                0
 TOTAL NUMBER OF NODES                        402
 NUMBER OF ELEMENTS FOR CONCRETE              203
 NUMBER OF ELEMENTS FOR STEEL+SHEET             0
 TOTAL NUMBER OF ELEMENTS                     203
 TOTAL NUMBER OF MATERIAL                       5
 NUMBER OF STEEL BARS AND SHEET                 0
 NUMBER OF ELEMENTS FOR STEEL                   0
 NUMBER OF ELEMENTS FOR FRP SHEET               0
 NUMBER OF ELEMENTS FOR TENSION STEEL           0
 NUMBER OF ELEMENTS FOR COMPRESSION STEEL           0
 NUMBER OF ELEMENTS FOR STIRUP STEEL           0
 NUMBER OF ELEMENTS FOR LOWER FRP SHEET           0
 NUMBER OF ELEMENTS FOR UPPER FRP SHEET           0
 NUMBER OF BOND ELEMENTS FOR STEEL                   0
 NUMBER OF BOND ELEMENTS FOR FRP SHEET               0
 NUMBER OF BOND ELEMENTS FOR TENSION STEEL           0
 NUMBER OF BOND ELEMENTS FOR COMPRESSIONSTEEL           0
 NUMBER OF BOND ELEMENTS FOR STIRUP STEEL           0
 NUMBER OF BOND ELEMENTS FOR LOWER FRP SHEET           0
 NUMBER OF BOND ELEMENTS FOR UPPER FRP SHEET           0
  ***************KH********************  
 NUMBER OF SPRINGS FOR CONCRETE              518
 NUMBER OF SPRINGS FOR STEEL AND FRP           0
 NUMBER OF SPRINGS FOR BOND                    0
  ***************KH********************  
  COORDINATES OF NODAL POINTS  
   NOD     X      Y
  343  522.6550  140.2697
  344  488.9261  127.1604
  345  863.9800    0.0000
  346  564.5844   83.0023
  347  560.8752   93.6547
  348  534.2752  153.6928
  349  583.2031  173.9909
  350  607.3500   99.2900
  351  649.9658  107.1102
  352  680.4158  122.7447
  353  777.4895    0.0000
  354  754.7132  104.6700
  355  767.7557  160.7923
  356  908.9906    0.0000
  357  830.2847  149.6421
  358  890.8313  154.9939
  359  947.4094   36.7136
  360  953.6487   76.5838
  361 1169.2092    0.0000
  362  959.6986   78.2986
  363  973.8121  114.8128
  364 1072.1128   85.6228
  365 1072.1675   87.3095
  366 1039.3638  120.7694
  367 1087.3486   59.4803
  368 1123.2336  125.5645
  369 1144.1450  110.7716
  370 1193.1552  108.6441
  371 1135.3619  121.1745
  372 1234.5491    0.0000
  373 1245.0852  127.6464
  374 1197.7930  101.2984
  375 1282.4686  176.2147
  376 1451.9520    0.0000
  377 1500.0000  152.9858
  378   64.2729    0.0000
  379   74.3101  200.0000
  380  163.8554  118.5213
  381  186.5777  200.0000
  382  291.9424  200.0000
  383  680.8447  200.0000
  384  895.3622  200.0000
  385 1284.6129  200.0000
  386  122.1382    0.0000
  387  106.7701  200.0000
  388  344.4926  200.0000
  389  585.2197  200.0000
  390  813.0345  200.0000
  391 1314.1661  200.0000
  392  232.3386    0.0000
  393  743.5298  200.0000
  394 1198.7419  200.0000
  395  449.1642    0.0000
  396  481.7641  200.0000
  397  948.0947    0.0000
  398  983.9984  200.0000
  399    0.0000  200.0000
  400 1500.0000  200.0000
  401    0.0000    0.0000
  402 1500.0000    0.0000
  ***************KH********************  
  COORDINATES OF MOTHER POINTS FOR CONCRETE ELEMENTS 
 ELEM       X        Y
    1   25.3687   30.1652
    2   66.5100   35.0140
    3   98.6302    7.1104
    4  145.6759    7.0112
    5  155.8766    8.2424
    6  210.5033   29.1052
    7  240.1087   35.5460
    8  297.5520    4.3524
    9  313.8622   11.1208
   10  347.7941   11.1176
   11  385.7074   36.5168
   12  430.3972   31.6236
   13  481.6950   17.1464
   14  497.6449    1.2480
   15  538.9736    4.6332
   16  592.6189    1.2072
   17  614.3861   21.5248
   18  664.4576   22.8984
   19  698.1942   18.6400
   20  744.6724    5.1736
   21  781.1265   33.0228
   22  824.3700   17.6388
   23  835.7955   12.7764
   24  889.7422   17.1440
   25  927.9619   17.4500
   26  967.5623   18.1892
   27  978.6176    8.3668
   28 1048.5172   22.4852
   29 1069.7067    2.7004
   30 1120.1438   33.1160
   31 1137.1039    7.5032
   32 1192.9351   22.8940
   33 1211.6974   13.1348
   34 1256.5695   14.4852
   35 1277.5309   23.4740
   36 1346.2230   26.4020
   37 1382.2609   28.1884
   38 1403.0017   12.4632
   39 1446.3761   14.6756
   40 1467.6423    0.5256
   41   33.2385   69.4204
   42   53.4765   72.9084
   43  101.2740   43.9048
   44  143.4090   42.9580
   45  160.6170   45.4344
   46  209.4082   70.2304
   47  258.4380   69.3756
   48  274.6065   71.4452
   49  324.9645   73.0276
   50  352.0132   74.8744
   51  384.8918   45.6852
   52  428.7184   45.0376
   53  451.7764   62.7212
   54  514.4194   62.5388
   55  553.6298   49.7588
   56  593.5406   63.3384
   57  630.6990   45.2540
   58  657.9844   71.4080
   59  683.7709   43.0856
   60  745.5728   74.7552
   61  775.5285   47.3264
   62  804.2955   50.2820
   63  846.6529   66.8260
   64  886.9155   55.3260
   65  920.2920   40.4472
   66  971.8433   54.5008
   67  983.5038   49.9644
   68 1046.7911   63.4220
   69 1050.1042   63.7008
   70 1121.5140   44.0636
   71 1160.2080   43.6364
   72 1190.1930   45.7200
   73 1213.5986   58.5844
   74 1263.3232   45.2332
